"","image_name","midpoint_row","midpoint_column","left_column","right_column","top_row","bottom_row","patch_size","label_code","label_name","machine_prediction","confidence"
"1","image_1.jpg",312,312,200,424,200,424,224,"GR_ulva","green_algae_ulva","GR_ulva",0.913
"2","image_1.jpg",690,312,200,424,578,802,224,"GR_ulva","green_algae_ulva","GR_ulva",0.946
"3","image_1.jpg",1068,312,200,424,956,1180,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"4","image_1.jpg",1447,312,200,424,1335,1559,224,"SU_sand","sand_fine_shell","manual_update",1
"5","image_1.jpg",1825,312,200,424,1713,1937,224,"GR_ulva","green_algae_ulva","GR_ulva",0.993
"6","image_1.jpg",2204,312,200,424,2092,2316,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"7","image_1.jpg",2582,312,200,424,2470,2694,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"8","image_1.jpg",2961,312,200,424,2849,3073,224,"RE_leaf","red_algae_flat_leaf","manual_update",1
"9","image_1.jpg",3339,312,200,424,3227,3451,224,"RE_leaf","red_algae_flat_leaf","manual_update",1
"10","image_1.jpg",3718,312,200,424,3606,3830,224,"SU_peb","pebble","manual_update",1
"11","image_1.jpg",312,754,642,866,200,424,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"12","image_1.jpg",690,754,642,866,578,802,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"13","image_1.jpg",1068,754,642,866,956,1180,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"14","image_1.jpg",1447,754,642,866,1335,1559,224,"SU_bould","boulder","manual_update",1
"15","image_1.jpg",1825,754,642,866,1713,1937,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"16","image_1.jpg",2204,754,642,866,2092,2316,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"17","image_1.jpg",2582,754,642,866,2470,2694,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"18","image_1.jpg",2961,754,642,866,2849,3073,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"19","image_1.jpg",3339,754,642,866,3227,3451,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"20","image_1.jpg",3718,754,642,866,3606,3830,224,"GR_ulva","green_algae_ulva","GR_ulva",0.99
"21","image_1.jpg",312,1196,1084,1308,200,424,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"22","image_1.jpg",690,1196,1084,1308,578,802,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"23","image_1.jpg",1068,1196,1084,1308,956,1180,224,"RE_bush","red_algae_bushy","RE_bush",1
"24","image_1.jpg",1447,1196,1084,1308,1335,1559,224,"RE_bush","red_algae_bushy","RE_bush",1
"25","image_1.jpg",1825,1196,1084,1308,1713,1937,224,"RE_bush","red_algae_bushy","RE_bush",1
"26","image_1.jpg",2204,1196,1084,1308,2092,2316,224,"RE_bush","red_algae_bushy","RE_bush",1
"27","image_1.jpg",2582,1196,1084,1308,2470,2694,224,"RE_bush","red_algae_bushy","RE_bush",1
"28","image_1.jpg",2961,1196,1084,1308,2849,3073,224,"GR_ulva","green_algae_ulva","GR_ulva",0.998
"29","image_1.jpg",3339,1196,1084,1308,3227,3451,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"30","image_1.jpg",3718,1196,1084,1308,3606,3830,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"31","image_1.jpg",312,1639,1527,1751,200,424,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"32","image_1.jpg",690,1639,1527,1751,578,802,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"33","image_1.jpg",1068,1639,1527,1751,956,1180,224,"RE_bush","red_algae_bushy","RE_bush",1
"34","image_1.jpg",1447,1639,1527,1751,1335,1559,224,"RE_bush","red_algae_bushy","RE_bush",1
"35","image_1.jpg",1825,1639,1527,1751,1713,1937,224,"RE_bush","red_algae_bushy","RE_bush",1
"36","image_1.jpg",2204,1639,1527,1751,2092,2316,224,"RE_bush","red_algae_bushy","RE_bush",1
"37","image_1.jpg",2582,1639,1527,1751,2470,2694,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"38","image_1.jpg",2961,1639,1527,1751,2849,3073,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"39","image_1.jpg",3339,1639,1527,1751,3227,3451,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"40","image_1.jpg",3718,1639,1527,1751,3606,3830,224,"RE_bush","red_algae_bushy","RE_bush",0.944
"41","image_1.jpg",312,2081,1969,2193,200,424,224,"SU_sand","sand_fine_shell","manual_update",1
"42","image_1.jpg",690,2081,1969,2193,578,802,224,"SU_silt","silt","SU_silt",0.98
"43","image_1.jpg",1068,2081,1969,2193,956,1180,224,"RE_bush","red_algae_bushy","RE_bush",1
"44","image_1.jpg",1447,2081,1969,2193,1335,1559,224,"RE_bush","red_algae_bushy","RE_bush",1
"45","image_1.jpg",1825,2081,1969,2193,1713,1937,224,"RE_bush","red_algae_bushy","RE_bush",1
"46","image_1.jpg",2204,2081,1969,2193,2092,2316,224,"RE_bush","red_algae_bushy","RE_bush",1
"47","image_1.jpg",2582,2081,1969,2193,2470,2694,224,"RE_bush","red_algae_bushy","RE_bush",1
"48","image_1.jpg",2961,2081,1969,2193,2849,3073,224,"GR_ulva","green_algae_ulva","GR_ulva",1
"49","image_1.jpg",3339,2081,1969,2193,3227,3451,224,"RE_bush","red_algae_bushy","RE_bush",1
"50","image_1.jpg",3718,2081,1969,2193,3606,3830,224,"GR_ulva","green_algae_ulva","manual_update",1
